tmstmp, lat, lon, vid, rt, pid
20230816 14:24:32,29.6252747,-82.38789,1402,75,500615
20230816 14:24:48,29.6252747,-82.38789,1402,75,500615
20230816 14:25:03,29.6252747,-82.38789,1402,75,500615
20230816 14:25:18,29.6252747,-82.38789,1402,75,500615
20230816 14:25:34,29.6252747,-82.38789,1402,75,500615
20230816 14:25:53,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:25:49,29.6252747,-82.38789,1402,75,500615
20230816 14:26:09,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:26:06,29.6252747,-82.38789,1402,75,500615
20230816 14:26:09,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:26:12,29.6252747,-82.38789,1402,75,500615
20230816 14:26:24,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:26:39,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:26:55,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:27:10,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:27:26,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:27:46,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:28:02,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:28:18,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:28:33,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:28:49,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:29:04,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:29:20,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:29:20,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:29:33,29.62348665725949,-82.3972,1602,33,500655
20230816 14:29:35,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:29:48,29.62348665725949,-82.3972,1602,33,500655
20230816 14:30:05,29.645898333333335,-82.32258833333331,710,11,44
20230816 14:30:04,29.62348665725949,-82.3972,1602,33,500655
20230816 14:30:00,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:30:21,29.62348665725949,-82.3972,1602,33,500655
20230816 14:30:16,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:30:21,29.62348665725949,-82.3972,1602,33,500655
20230816 14:30:31,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:30:37,29.62348665725949,-82.3972,1602,33,500655
20230816 14:30:46,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:30:53,29.62348665725949,-82.3972,1602,33,500655
20230816 14:31:02,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:31:09,29.62348665725949,-82.3972,1602,33,500655
20230816 14:31:02,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:31:28,29.62348665725949,-82.3972,1602,33,500655
20230816 14:31:25,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:31:37,29.645546,-82.32272,2307,17,500617
20230816 14:31:43,29.62348665725949,-82.3972,1602,33,500655
20230816 14:31:39,29.614132,-82.361212,1014,34,55
20230816 14:31:42,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:31:53,29.645546,-82.32272,2307,17,500617
20230816 14:31:58,29.62348665725949,-82.3972,1602,33,500655
20230816 14:31:54,29.614132,-82.361212,1014,34,55
20230816 14:31:57,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:32:08,29.645546,-82.32272,2307,17,500617
20230816 14:32:14,29.62348665725949,-82.3972,1602,33,500655
20230816 14:32:10,29.614132,-82.361212,1014,34,55
20230816 14:32:12,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:32:24,29.645546,-82.32272,2307,17,500617
20230816 14:32:29,29.62348665725949,-82.3972,1602,33,500655
20230816 14:32:25,29.614132,-82.361212,1014,34,55
20230816 14:32:28,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:32:41,29.645546,-82.32272,2307,17,500617
20230816 14:32:45,29.62348665725949,-82.3972,1602,33,500655
20230816 14:32:50,29.614132,-82.361212,1014,34,55
20230816 14:32:43,29.645674999999997,-82.34661166666667,4378,150,194
20230816 14:32:56,29.645546,-82.32272,2307,17,500617
